variable;unit;min;max;definition
Capacity|Liquids|Gas;GW;0;;Total installed (available) capacity of gas to liquids plants.
Capacity|Liquids|Gas|w/ CCS;GW;0;;Total installed (available) capacity of gas to liquids plants with CCS. The installed (available) capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/ CCS|1, ..., Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Liquids|Gas|w/o CCS;GW;0;;Total installed (available) capacity of gas to liquids plants without CCS. The installed (available) capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Gas|w/o CCS|1, ..., Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity|Liquids|Oil;GW;0;;Total installed (available) capacity of oil refining plants. The installed (available) capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Capacity|Liquids|Oil|w/ CCS|1, ..., Capacity|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Electricity|Biomass;GW;0;;Cumulative installed capacity (since 2005) of biomass power plants.
Cumulative Capacity|Electricity|Coal;GW;0;;Cumulative installed capacity (since 2005) of coal power plants.
Cumulative Capacity|Electricity|Gas;GW;0;;Cumulative installed capacity (since 2005) of gas power plants.
Cumulative Capacity|Electricity|Geothermal;GW;0;;Cumulative installed geothermal electricity generation capacity
Cumulative Capacity|Electricity|Oil;GW;0;;Cumulative installed capacity (since 2005) of oil power plants.
Cumulative Capacity|Electricity|Solar;GW;0;;Cumulative installed capacity (since 2005) of solar power.
Cumulative Capacity|Gases|Biomass;GW;0;;Cumulative installed capacity (since 2005) of biomass to gas plants.
Cumulative Capacity|Gases|Biomass|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass to gas plants with CCS. The cumulative capacity of CCS biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/ CCS|1, ..., Cumulative Capacity|Gases|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Gases|Biomass|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass to gas plants without CCS. The cumulative capacity of biomass to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Biomass|w/o CCS|1, ..., Cumulative Capacity|Gases|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Gases|Coal;GW;0;;Cumulative installed capacity (since 2005) of coal to gas plants.
Cumulative Capacity|Gases|Coal|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of coal to gas plants with CCS. The cumulative capacity of CCS coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/ CCS|1, ..., Cumulative Capacity|Gases|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Gases|Coal|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of coal to gas plants without CCS. The cumulative capacity of coal to gas plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Gases|Coal|w/o CCS|1, ..., Cumulative Capacity|Gases|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Biomass;GW;0;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants.
Cumulative Capacity|Hydrogen|Biomass|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants with CCS. The cumulative capacity of CCS biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Biomass|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass to hydrogen plants without CCS. The cumulative capacity of biomass to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Biomass|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Coal;GW;0;;Cumulative installed capacity (since 2005) of coal to hydrogen plants.
Cumulative Capacity|Hydrogen|Coal|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of coal to hydrogen plants with CCS. The cumulative capacity of CCS coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Coal|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of coal to hydrogen plants without CCS. The cumulative capacity of coal to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Coal|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Electricity;GW;0;;Cumulative installed capacity (since 2005) of hydrogen-by-electrolysis plants. The cumulative capacity of hydrogen-by-electrolysis plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Electricity|1, ..., Cumulative Capacity|Hydrogen|Electricity|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Gas;GW;0;;Cumulative installed capacity (since 2005) of gas to hydrogen plants.
Cumulative Capacity|Hydrogen|Gas|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of gas to hydrogen plants with CCS. The cumulative capacity of CCS gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/ CCS|1, ..., Cumulative Capacity|Hydrogen|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Hydrogen|Gas|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of gas to hydrogen plants without CCS. The cumulative capacity of gas to hydrogen plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Hydrogen|Gas|w/o CCS|1, ..., Cumulative Capacity|Hydrogen|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Biomass;GW;0;;Cumulative installed capacity (since 2005) of biomass to liquids plants.
Cumulative Capacity|Liquids|Biomass|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass to liquids plants with CCS. The cumulative capacity of CCS biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/ CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Biomass|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of biomass to liquids plants without CCS. The cumulative capacity of biomass to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Biomass|w/o CCS|1, ..., Cumulative Capacity|Liquids|Biomass|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Coal;GW;0;;Cumulative installed capacity (since 2005) of coal to liquids plants.
Cumulative Capacity|Liquids|Coal|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of coal to liquids plants with CCS. The cumulative capacity of CCS coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/ CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Coal|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of coal to liquids plants without CCS. The cumulative capacity of coal to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Coal|w/o CCS|1, ..., Cumulative Capacity|Liquids|Coal|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Gas;GW;0;;Cumulative installed capacity (since 2005) of gas to liquids plants.
Cumulative Capacity|Liquids|Gas|w/ CCS;GW;0;;Cumulative installed capacity (since 2005) of gas to liquids plants with CCS. The cumulative capacity of CCS gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/ CCS|1, ..., Cumulative Capacity|Liquids|Gas|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Gas|w/o CCS;GW;0;;Cumulative installed capacity (since 2005) of gas to liquids plants without CCS. The cumulative capacity of gas to liquids plants by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Gas|w/o CCS|1, ..., Cumulative Capacity|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Cumulative Capacity|Liquids|Oil;GW;0;;Cumulative installed capacity (since 2005) of oil refining plants. The cumulative capacity of oil refineries by plant type for which capital costs are reported should be reported by adding variables Cumulative Capacity|Liquids|Oil|1, ..., Cumulative Capacity|Liquids|Oil|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Capacity Additions|Electricity|Biomass;GW/yr;0;;Capacity additions of all biomass power plants (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Coal;GW/yr;0;;Capacity additions of all coal power plants (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Gas;GW/yr;0;;Capacity additions of all gas power plants (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Geothermal;GW/yr;0;;Capacity additions of geothermal power plants (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Oil;GW/yr;0;;Capacity additions of all oil power plants (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Solar;GW/yr;0;;Capacity additions of solar power plants (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Storage Capacity;GWh/yr;0;;Capacity additions of electricity storage capacity (yearly average additions between previos and current model time step)
Capacity Additions|Electricity|Transmissions Grid;GWkm/yr;0;;Capacity additions of electricity storage (yearly average additions between previos and current model time step)
Capacity|Electricity|Storage Capacity;GWh;0;;Total installed capacity of operating electricity storage
Capacity|Electricity|Transmissions Grid;GWkm;0;;Total installed capacity of operating transmission grid
Final Energy|Non-Energy Use;;0;;
Final Energy|Non-Energy Use|Coal;EJ/yr;0;;final energy consumption by the non-combustion processes
Final Energy|Non-Energy Use|Oil;;0;;
Final Energy|Non-Energy Use|Gas;;0;;
Final Energy|Non-Energy Use|Biomass;;0;;
Final Energy;EJ/yr;0;;total final energy consumption by all end-use sectors and all fuels, excluding transmission/distribution losses
Final Energy|Electricity;EJ/yr;0;;final energy consumption of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Gases;EJ/yr;0;;final energy consumption of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Geothermal;EJ/yr;0;;final energy consumption of geothermal energy (e.g., from decentralized or small-scale geothermal heating systems) EXCLUDING geothermal heat pumps
Final Energy|Heat;EJ/yr;0;;final energy consumption of heat (e.g., district heat, process heat, warm water), excluding transmission/distribution losses, excluding direct geothermal and solar heating
Final Energy|Hydrogen;EJ/yr;0;;final energy consumption of hydrogen, excluding transmission/distribution losses
Final Energy|industry;EJ/yr;0;;final energy consumed by the industrial sector, including feedstocks, including agriculture and fishing
Final Energy|industry|Electricity;EJ/yr;0;;final energy consumption by the industrial sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|industry|Gases;EJ/yr;0;;final energy consumption by the industrial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|industry|Heat;EJ/yr;0;;final energy consumption by the industrial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|industry|Hydrogen;EJ/yr;0;;final energy consumption by the industrial sector of hydrogen
Final Energy|industry|Liquids;EJ/yr;0;;final energy consumption by the industrial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|industry|Other;EJ/yr;0;;final energy consumption by the industrial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|industry|Solids;EJ/yr;0;;final energy solid fuel consumption by the industrial sector (including coal and solid biomass)
Final Energy|industry|Solids|Biomass;EJ/yr;0;;final energy consumption by the industrial sector of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|industry|Solids|Coal;EJ/yr;0;;final energy coal consumption by the industrial sector
Final Energy|Liquids;EJ/yr;0;;final energy consumption of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Residential;EJ/yr;0;;final energy consumed in the residential sector
Final Energy|Residential and Commercial;EJ/yr;0;;final energy consumed in the residential & commercial sector
Final Energy|Residential and Commercial|Electricity;EJ/yr;0;;final energy consumption by the residential & commercial sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Residential and Commercial|Gases;EJ/yr;0;;final energy consumption by the residential & commercial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Residential and Commercial|Heat;EJ/yr;0;;final energy consumption by the residential & commercial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Residential and Commercial|Hydrogen;EJ/yr;0;;final energy consumption by the residential & commercial sector of hydrogen
Final Energy|Residential and Commercial|Liquids;EJ/yr;0;;final energy consumption by the residential & commercial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Residential and Commercial|Other;EJ/yr;0;;final energy consumption by the residential & commercial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Residential and Commercial|Solids;EJ/yr;0;;final energy solid fuel consumption by the residential & commercial sector (including coal and solid biomass)
Final Energy|Residential and Commercial|Solids|Biomass;EJ/yr;0;;final energy consumption by the residential & commercial sector of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Residential and Commercial|Solids|Biomass|Traditional;EJ/yr;0;;final energy consumed in the residential & commercial sector coming from biomass (traditional)
Final Energy|Residential and Commercial|Solids|Coal;EJ/yr;0;;final energy coal consumption by the residential & commercial sector
Final Energy|Solar;EJ/yr;0;;final energy consumption of solar energy (e.g., from roof-top solar hot water collector systems)
Final Energy|Solids;EJ/yr;0;;final energy solid fuel consumption (including coal and solid biomass)
Final Energy|Solids|Biomass;EJ/yr;0;;final energy consumption of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Solids|Biomass|Traditional;EJ/yr;0;;final energy consumption of traditional biomass
Final Energy|Solids|Coal;EJ/yr;0;;final energy coal consumption
Final Energy|Transportation;EJ/yr;0;;final energy consumed in the transportation sector, including bunker fuels, excluding pipelines
Final Energy|Transportation|Electricity;EJ/yr;0;;final energy consumption by the transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Transportation|Freight;EJ/yr;0;;final energy consumed for freight transportation
Final Energy|Transportation|Gases;EJ/yr;0;;final energy consumption by the transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Transportation|Hydrogen;EJ/yr;0;;final energy consumption by the transportation sector of hydrogen
Final Energy|Transportation|Liquids;EJ/yr;0;;final energy consumption by the transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Transportation|Passenger;EJ/yr;0;;final energy consumed for passenger transportation
Final Energy|Commercial;EJ/yr;0;;final energy consumed in the commercial sector
Final Energy|Commercial|Electricity;EJ/yr;0;;final energy consumption by the commercial sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Commercial|Gases;EJ/yr;0;;final energy consumption by the commercial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Commercial|Heat;EJ/yr;0;;final energy consumption by the commercial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Commercial|Hydrogen;EJ/yr;0;;final energy consumption by the commercial sector of hydrogen
Final Energy|Commercial|Liquids;EJ/yr;0;;final energy consumption by the commercial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Commercial|Other;EJ/yr;0;;final energy consumption by the commercial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Commercial|Solids;EJ/yr;0;;final energy solid fuel consumption by the commercial sector (including coal and solid biomass)
Final Energy|Other;EJ/yr;0;;final energy consumption of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Other Sector;EJ/yr;0;;total final energy consumption by other sectors
Final Energy|Other Sector|Electricity;EJ/yr;0;;final energy consumption by other sectors of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Other Sector|Gases;EJ/yr;0;;final energy consumption by other sectors of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Other Sector|Heat;EJ/yr;0;;final energy consumption by other sectors of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Other Sector|Hydrogen;EJ/yr;0;;final energy consumption by other sectors of hydrogen
Final Energy|Other Sector|Liquids;EJ/yr;0;;final energy consumption by other sectors of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Other Sector|Other;EJ/yr;0;;final energy consumption by other sectors of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Other Sector|Solids;EJ/yr;0;;final energy solid fuel consumption by other sectors (including coal and solid biomass)
Final Energy|Other Sector|Solids|Biomass;EJ/yr;0;;final energy consumption by other sectors of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Other Sector|Solids|Biomass|Traditional;EJ/yr;0;;final energy consumed by other sectors than industry, transportation, residential and commercial coming from biomass (traditional)
Final Energy|Other Sector|Solids|Coal;EJ/yr;0;;final energy coal consumption by other sectors
Final Energy|Residential and Commercial|Space Heating;EJ/yr;0;;final energy consumed for space heating in residential and commercial buildings
Final Energy|Residential|Electricity;EJ/yr;0;;final energy consumption by the residential sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Residential|Gases;EJ/yr;0;;final energy consumption by the residential sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Residential|Heat;EJ/yr;0;;final energy consumption by the residential sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Residential|Hydrogen;EJ/yr;0;;final energy consumption by the residential sector of hydrogen
Final Energy|Residential|Liquids;EJ/yr;0;;final energy consumption by the residential sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Residential|Other;EJ/yr;0;;final energy consumption by the residential sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Residential|Solids;EJ/yr;0;;final energy solid fuel consumption by the residential sector (including coal and solid biomass)
Final Energy|Transportation|Freight|Electricity;EJ/yr;0;;final energy consumption by the freight transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Transportation|Freight|Gases;EJ/yr;0;;final energy consumption by the freight transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Transportation|Freight|Hydrogen;EJ/yr;0;;final energy consumption by the freight transportation sector of hydrogen
Final Energy|Transportation|Freight|Liquids;EJ/yr;0;;final energy consumption by the freight transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Transportation|Freight|Liquids|Biomass;EJ/yr;0;;final energy consumption by the freight transportation sector of liquid biofuels
Final Energy|Transportation|Freight|Liquids|Oil;EJ/yr;0;;final energy consumption by the freight transportation sector of liquid oil products (from conventional & unconventional oil)
Final Energy|Transportation|Freight|Other;EJ/yr;0;;final energy consumption by the freight transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Transportation|Liquids|Biomass;EJ/yr;0;;final energy consumption by the transportation sector of liquid biofuels
Final Energy|Transportation|Liquids|Coal;EJ/yr;0;;final energy consumption by the transportation sector of coal based liquids (coal-to-liquids)
Final Energy|Transportation|Liquids|Natural Gas;EJ/yr;0;;final energy consumption by the transportation sector of natrual gas based liquids (gas-to-liquids)
Final Energy|Transportation|Liquids|Oil;EJ/yr;0;;final energy consumption by the transportation sector of liquid oil products (from conventional & unconventional oil)
Final Energy|Transportation|Other;EJ/yr;0;;final energy consumption by the transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Transportation|Passenger|Electricity;EJ/yr;0;;final energy consumption by the passenger transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Transportation|Passenger|Gases;EJ/yr;0;;final energy consumption by the passenger transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Transportation|Passenger|Hydrogen;EJ/yr;0;;final energy consumption by the passenger transportation sector of hydrogen
Final Energy|Transportation|Passenger|Liquids;EJ/yr;0;;final energy consumption by the passenger transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Transportation|Passenger|Liquids|Biomass;EJ/yr;0;;final energy consumption by the passenger transportation sector of liquid biofuels
Final Energy|Transportation|Passenger|Liquids|Oil;EJ/yr;0;;final energy consumption by the passenger transportation sector of liquid oil products (from conventional & unconventional oil)
Final Energy|Transportation|Passenger|Other;EJ/yr;0;;final energy consumption by the passenger transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Price|Primary Energy|Biomass;US$2010/GJ or local currency/GJ;0;;biomass producer price
Price|Primary Energy|Coal;US$2010/GJ or local currency/GJ;0;;coal price at the primary level (i.e. the spot price at the global or regional market)
Price|Primary Energy|Gas;US$2010/GJ or local currency/GJ;0;;natural gas price at the primary level (i.e. the spot price at the global or regional market)
Price|Primary Energy|Oil;US$2010/GJ or local currency/GJ;0;;crude oil price at the primary level (i.e. the spot price at the global or regional market)
Price|Secondary Energy|Electricity;US$2010/GJ or local currency/GJ;0;;electricity price at the secondary level, i.e. for large scale consumers (e.g. aluminum production).  Prices should include the effect of carbon prices.
Price|Secondary Energy|Gases|Natural Gas;US$2010/GJ or local currency/GJ;0;;natural gas price at the secondary level, i.e. for large scale consumers (e.g. gas power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Hydrogen;US$2010/GJ or local currency/GJ;0;;hydrogen price at the secondary level. Prices should include the effect of carbon prices
Price|Secondary Energy|Liquids;US$2010/GJ or local currency/GJ;0;;liquid fuel price at the secondary level, i.e. petrol, diesel, or weighted average
Price|Secondary Energy|Liquids|Biomass;US$2010/GJ or local currency/GJ;0;;biofuel price at the secondary level, i.e. for biofuel consumers
Price|Secondary Energy|Liquids|Oil;US$2010/GJ or local currency/GJ;0;;light fuel oil price at the secondary level, i.e. for large scale consumers (e.g. oil power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Solids|Biomass;US$2010/GJ or local currency/GJ;0;;biomass price at the secondary level, i.e. for large scale consumers (e.g. biomass power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Solids|Coal;US$2010/GJ or local currency/GJ;0;;coal price at the secondary level, i.e. for large scale consumers (e.g. coal power plant). Prices should include the effect of carbon prices.
Reservoir Capacity|Electricity|Storage;GWh;0;;reservoir size of electricity storage technologies (e.g. pumped hydro, compressed air storage, flow batteries)
Primary Energy|Biomass|Electricity;EJ/yr;0;;primary energy input to electricity generation of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass
Primary Energy|Biomass|Electricity|w/ CCS;EJ/yr;0;;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy input to electricity generation used in combination with CCS
Primary Energy|Biomass|Electricity|w/o CCS;EJ/yr;0;;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy input to electricity generation without CCS
Primary Energy|Coal|Electricity;EJ/yr;0;;coal primary energy input to electricity generation
Primary Energy|Coal|Electricity|w/ CCS;EJ/yr;0;;coal primary energy input to electricity generation  used in combination with CCS
Primary Energy|Coal|Electricity|w/o CCS;EJ/yr;0;;coal primary energy input to electricity generation  without CCS
Primary Energy|Gas|Electricity;EJ/yr;0;;gas primary energy input to electricity generation
Primary Energy|Gas|Electricity|w/ CCS;EJ/yr;0;;gas primary energy input to electricity generation used in combination with CCS
Primary Energy|Gas|Electricity|w/o CCS;EJ/yr;0;;gas primary energy input to electricity generation without CCS
Primary Energy|Oil|Electricity;EJ/yr;0;;conventional & unconventional oil primary energy input to electricity generation
Primary Energy|Oil|Electricity|w/ CCS;EJ/yr;0;;conventional & unconventional oil primary energy input to electricity generation used in combination with CCS
Primary Energy|Oil|Electricity|w/o CCS;EJ/yr;0;;conventional & unconventional oil primary energy input to electricity generation without CCS
Primary Energy;EJ/yr;0;;total primary energy consumption (direct equivalent)
Primary Energy|Biomass;EJ/yr;0;;primary energy consumption of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass
Primary Energy|Biomass|Modern;EJ/yr;0;;modern biomass primary energy consumption, including purpose-grown bioenergy crops, crop and forestry residue bioenergy and municipal solid waste bioenergy
Primary Energy|Biomass|Traditional;EJ/yr;0;;traditional biomass primary energy consumption
Primary Energy|Biomass|w/ CCS;EJ/yr;0;;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption used in combination with CCS
Primary Energy|Biomass|w/o CCS;EJ/yr;0;;purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy consumption without CCS
Primary Energy|Coal;EJ/yr;0;;coal primary energy consumption
Primary Energy|Coal|w/ CCS;EJ/yr;0;;coal primary energy consumption used in combination with CCS
Primary Energy|Coal|w/o CCS;EJ/yr;0;;coal primary energy consumption without CCS
Primary Energy|Fossil;EJ/yr;0;;coal, gas, conventional and unconventional oil primary energy consumption
Primary Energy|Fossil|w/ CCS;EJ/yr;0;;coal, gas, conventional and unconventional oil primary energy consumption used in combination with CCS
Primary Energy|Fossil|w/o CCS;EJ/yr;0;;coal, gas, conventional and unconventional oil primary energy consumption without CCS
Primary Energy|Gas;EJ/yr;0;;gas primary energy consumption
Primary Energy|Gas|w/ CCS;EJ/yr;0;;gas primary energy consumption used in combination with CCS
Primary Energy|Gas|w/o CCS;EJ/yr;0;;gas primary energy consumption without CCS
Primary Energy|Geothermal;EJ/yr;0;;total geothermal primary energy consumption
Primary Energy|Hydro;EJ/yr;0;;total hydro primary energy consumption
Primary Energy|Nuclear;EJ/yr;0;;nuclear primary energy consumption (direct equivalent, includes electricity, heat and hydrogen production from nuclear energy)
Primary Energy|Oil;EJ/yr;0;;conventional & unconventional oil primary energy consumption
Primary Energy|Oil|w/ CCS;EJ/yr;0;;conventional & unconventional oil primary energy consumption used in combination with CCS
Primary Energy|Oil|w/o CCS;EJ/yr;0;;conventional & unconventional oil primary energy consumption without CCS
